trial_id,loss,accuracy,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/batch_size,config/lr,config/alpha,config/beta
2dc45_00000,0.11023988115026596,97.08333333333333,49.749876499176025,True,True,,,10,a39cafdf98ba4fbaa97c431318d6aa2f,2022-12-21_00-23-59,1671578639,505.6706600189209,8184,MSI-Tommy,127.0.0.1,505.6706600189209,0,10,0.005971431732177734,"0_alpha=0.8138,batch_size=64,beta=0.1880,lr=0.0005",64,0.0004955751938285141,0.8137636138021301,0.18804159443878865
2dc45_00001,0.13421028645833333,96.475,53.03045463562012,True,True,,,3,bc5f2b75c8464731a0d373b590e50c5a,2022-12-21_00-26-50,1671578810,164.8708028793335,12524,MSI-Tommy,127.0.0.1,164.8708028793335,0,3,0.0071108341217041016,"1_alpha=0.6199,batch_size=32,beta=0.2280,lr=0.0057",32,0.005693519774878459,0.6198980457470201,0.2279903256469905
2dc45_00002,0.07226497395833334,97.975,49.78543996810913,True,True,,,10,bf35c64491664f47bc48055e6d37e9a7,2022-12-21_00-35-23,1671579323,506.34806632995605,22996,MSI-Tommy,127.0.0.1,506.34806632995605,0,10,0.0,"2_alpha=0.3724,batch_size=32,beta=0.3181,lr=0.0010",32,0.0009654658372955936,0.37238068772818855,0.31806467118888126
2dc45_00003,0.06559250895182292,97.925,50.101011991500854,True,True,,,10,8f55dab6fe7e47a68d2988734d6aaf2e,2022-12-21_00-43-54,1671579834,502.7869086265564,22296,MSI-Tommy,127.0.0.1,502.7869086265564,0,10,0.01987147331237793,"3_alpha=0.6086,batch_size=32,beta=0.0274,lr=0.0016",32,0.0016451491753928277,0.608593524621869,0.02739124619724076
2dc45_00004,0.13598113364361702,96.025,44.6456823348999,True,True,,,3,7e2630411f7343cd824ec8189966bffe,2022-12-21_00-46-23,1671579983,141.17135787010193,2896,MSI-Tommy,127.0.0.1,141.17135787010193,0,3,0.019727468490600586,"4_alpha=0.6845,batch_size=128,beta=0.6872,lr=0.0005",128,0.0004886939692831749,0.6844738613324047,0.6872169901071875
2dc45_00005,0.254888006981383,92.89166666666667,55.6546688079834,True,True,,,3,315f2ac973a34cbb95a6dcecf1149b5c,2022-12-21_00-49-11,1671580151,161.83074808120728,6120,MSI-Tommy,127.0.0.1,161.83074808120728,0,3,0.006053924560546875,"5_alpha=0.0237,batch_size=64,beta=0.2491,lr=0.0002",64,0.000185495291425952,0.023729772293376028,0.24912291778674667
2dc45_00006,0.08927885014960106,97.25,56.05932927131653,True,True,,,6,cca467772b26413d89f8114675408de7,2022-12-21_00-54-25,1671580465,305.0767767429352,17424,MSI-Tommy,127.0.0.1,305.0767767429352,0,6,0.0059773921966552734,"6_alpha=0.8993,batch_size=128,beta=0.0841,lr=0.0008",128,0.0007609366547356492,0.8993144077533561,0.08406789763107325
2dc45_00007,0.14042529296875,96.175,63.17578935623169,True,True,,,3,7d4639a1021041eba9793a4d73b00afb,2022-12-21_00-57-48,1671580668,193.98120594024658,14376,MSI-Tommy,127.0.0.1,193.98120594024658,0,3,0.020717620849609375,"7_alpha=0.9224,batch_size=32,beta=0.2551,lr=0.0004",32,0.00043610161274668406,0.9223765293393829,0.25510483017830543
2dc45_00008,0.071286865234375,97.89166666666667,62.65413188934326,True,True,,,10,6811072a1d5b435c8e81cbd22c90a670,2022-12-21_01-08-33,1671581313,635.3432810306549,20748,MSI-Tommy,127.0.0.1,635.3432810306549,0,10,0.003727436065673828,"8_alpha=0.7206,batch_size=32,beta=0.8130,lr=0.0016",32,0.0015703949458528656,0.7205649927928433,0.8129571745218178
2dc45_00009,0.19217763048537234,94.59166666666667,57.8745322227478,True,True,,,3,bc19924873184c9982d188e0dc03398b,2022-12-21_01-11-42,1671581502,180.79637622833252,21876,MSI-Tommy,127.0.0.1,180.79637622833252,0,3,0.0,"9_alpha=0.0781,batch_size=64,beta=0.7562,lr=0.0003",64,0.0002631127057186839,0.0780968347792883,0.756249444588458
2dc45_00010,0.06703019205729166,97.90833333333333,71.99080395698547,True,True,,,10,e847062fadd549d69d91b17c167bff14,2022-12-21_01-22-50,1671582170,658.6381075382233,1956,MSI-Tommy,127.0.0.1,658.6381075382233,0,10,0.01911616325378418,"10_alpha=0.7451,batch_size=32,beta=0.1399,lr=0.0011",32,0.0011474651657548763,0.7451147354860729,0.13994750970830994
2dc45_00011,0.32315388131648937,91.55,57.96883010864258,True,True,,,3,841a131ba1b84b71ae4f3d707ab2d5fc,2022-12-21_01-26-00,1671582360,180.33116555213928,19840,MSI-Tommy,127.0.0.1,180.33116555213928,0,3,0.006285905838012695,"11_alpha=0.9887,batch_size=64,beta=0.2573,lr=0.0001",64,0.0001273714391452354,0.9886526345632575,0.2572971067908414
